,0
0,-0.0004606483248233059
1,-3.503709637957958e-13
2,-1.2572646916619856e-13
3,-3.222029576737534e-13
4,-1.414977076480417e-13
5,-1.2825352758982778e-13
6,-2.566246369052616e-13
7,5.495821896531194e-13
8,1.000000000422051
9,1.3350345134943709e-13
10,-5.962244586932286e-14
11,6.884293482500858e-14
12,-2.8602944665556684e-13
13,-4.522327607878185e-13
14,8.094856002952705e-12
15,-8.061018215779758e-13
16,2.9318062734484673e-13
17,-1.5951046364835741e-12
18,-3.5078021216883304e-12
19,-4.079868387574237e-12
20,-1.5514655532511412e-12
21,2.5165686591901992e-12
22,-8.799892238509077e-13
23,-3.721862011293875e-12
24,-2.982417481381394e-12
25,-3.583751351232678e-12
26,4.525416499867596e-12
27,7.389575062966003e-13
28,3.1496610874981457e-12
29,-3.45929881961915e-12
30,2.5295286698590047e-12
31,2.4993895841873837e-13
32,-2.7652359568808293e-14
33,5.158084991573574e-13
34,7.537822227293364e-13
35,1.2705353262532082e-13
36,-4.832351966493897e-13
37,-8.971492982106505e-13
38,1.2480664356270994e-12
39,5.429197266456146e-13
40,4.296007451685957e-13
41,1.3591203358066795e-13
42,2.2571787341508272e-13
43,5.481590929865693e-13
44,-4.9128886722704657e-14
45,9.24664126733879e-13
46,-1.0340066747705629e-12
47,9.06910587209972e-14
48,1.1235418935075605e-13
49,1.0582102041693537e-14
50,1.7082390596457817e-13
51,-4.871189316510102e-13
52,-1.0895150883913352e-12
53,1.1102230246251565e-16
54,-6.036837696399289e-16
55,3.122502256758253e-17
56,9.71445146547012e-17
57,8.326672684688674e-16
58,1.1102230246251565e-16
59,5.100087019371813e-16
60,-1.1213252548714081e-14
61,-4.172009959724221e-16
62,2.636779683484747e-16
63,3.2612801348363973e-16
64,-5.412337245047638e-16
65,3.904862544423793e-15
66,-2.6411164921746888e-15
67,6.245004513516506e-17
68,3.0279598273175168e-15
69,1.998835125194276e-15
70,7.86697096355482e-16
71,-6.852157730108388e-17
72,4.4578056523914e-15
73,-2.198762005800603e-16
74,2.5717275531356165e-16
75,-3.864963904476326e-15
76,2.5647886592317093e-15
77,5.212844045310305e-16
78,9.75781955236954e-16
79,9.00755164900957e-16
80,-1.0009354456386177e-15
81,1.4966868890076146e-15
82,-1.8995222061946038e-15
83,4.377574691627473e-15
84,2.0122792321330962e-15
85,9.107298248878237e-17
86,6.223320470066795e-16
87,2.2609410003926467e-15
88,9.679756995950584e-16
89,1.5872719805187785e-15
90,1.1084883011491797e-15
91,1.6870185803874449e-15
92,-6.843484112728504e-16
93,3.6180368596927526e-15
94,1.9999193273667615e-15
95,-8.925152283900673e-16
96,1.925543058334256e-15
97,-1.5178830414797062e-16
98,2.5157827210353645e-15
99,-5.412337245047638e-16
100,6.188626000547259e-16
101,2.688821387764051e-17
102,2.0296264668928643e-16
103,2.3310346708438345e-16
104,2.0209528495129803e-15
105,1.0824674490095276e-15
106,2.498001805406602e-16
107,-1.942890293094024e-16
108,-1.942890293094024e-16
109,6.661338147750939e-16
110,3.559652572704408e-15
111,-1.060295514582199e-14
112,5.551115123125783e-17
113,-4.718447854656915e-16
114,8.326672684688674e-17
115,-3.885780586188048e-16
116,3.2612801348363973e-16
117,1.1362438767648086e-16
118,2.220446049250313e-15
119,1.970645868709653e-15
120,-1.994931997373328e-15
121,1.3704315460216776e-15
122,8.751679936302992e-16
123,-2.5934115965853266e-16
124,-1.5400007657984105e-15
125,-4.44956571588051e-16
126,2.0296264668928643e-15
127,-3.800779135865184e-15
128,-1.6601303665098044e-15
129,-3.7643499428696714e-16
130,-5.259681579161679e-15
131,1.5144135945277526e-15
132,-3.771288836773579e-15
133,1.9203388879063255e-15
134,-2.1978946440626146e-15
135,2.607289384393141e-15
136,-2.0469737016526324e-16
137,-3.49893725104522e-15
138,-4.28129753871076e-15
139,4.874572967494828e-15
140,3.7539416020138106e-15
141,1.321859288694327e-15
142,-5.502542865798432e-15
143,1.2906342661267445e-15
144,-5.443562267615221e-15
145,-1.7338561142388187e-15
146,1.9810542095655137e-15
147,-1.981487890434508e-15
148,4.8433479449272454e-15
149,-3.021888295151598e-15
150,2.7408630920433552e-15
151,-1.4714791884973266e-15
152,-2.7755575615628914e-17
153,1.0685896612017132e-15
154,-6.722053469410127e-16
155,-5.332539965152705e-15
156,-3.3306690738754696e-16
157,-2.220446049250313e-16
158,1.0408340855860843e-15
159,-1.3877787807814457e-16
160,-9.367506770274758e-17
161,1.0679825079851213e-14
162,3.191891195797325e-16
163,-1.3877787807814457e-17
164,-1.3877787807814457e-16
165,1.734723475976807e-16
166,-3.703634621210483e-16
167,3.690624195140657e-16
168,-1.2836953722228372e-15
169,9.540979117872439e-18
170,2.7781596467768566e-15
171,-2.4624399741490777e-15
172,-1.494030593685025e-16
173,-1.4094628242311558e-17
174,1.3590474232105798e-15
175,6.646159317336142e-16
176,-1.3053794156725473e-15
177,2.3546702782040185e-15
178,1.0996520534434229e-15
179,1.0989473220313073e-15
180,1.4181364416110398e-15
181,8.760353553682876e-17
182,2.194858877979655e-15
183,1.2750217548429532e-16
184,1.2420620087993939e-15
185,-1.214306433183765e-17
186,5.772292366312826e-16
187,2.147587663259287e-15
188,1.9796447467412825e-15
189,-2.5413698923060224e-15
190,-1.1674688993323912e-15
191,-1.3279308208602458e-15
192,2.4841240175987878e-15
193,-5.585809592645319e-16
194,2.704000218178848e-15
195,-6.342582709040201e-16
